0 0 0
0.5 0 0
1 0 0
1.5 0 0
2 0 0
2.5 0 0
3 15 0.0075
3.5 42 0.021
4 70 0.035
4.5 114 0.057
5 158 0.079
5.5 208 0.104
6 258 0.129
6.5 358 0.179
7 457 0.2285
7.5 631 0.3155
8 805 0.4025
8.5 969 0.4845
9 1132 0.566
9.5 1300 0.65
10 1468 0.734
10.5 1609 0.8045
11 1750 0.875
11.5 1825 0.9125
12 1900 0.95
12.5 1950 0.975
13 1990 0.995
13.5 1995 0.9975
14 2000 1
14.5 2000 1
15 2000 1
15.5 2000 1
16 2000 1
16.5 2000 1
17 2000 1
17.5 2000 1
18 2000 1
18.5 2000 1
19 2000 1
19.5 2000 1
20 2000 1
20.5 2000 1
21 2000 1
21.5 2000 1
22 2000 1
22.5 2000 1
23 2000 1
23.5 2000 1
24 2000 1
24.5 2000 1
25 2000 1
25.5 0 0
26 0 0
26.5 0 0
27 0 0
27.5 0 0
28 0 0
28.5 0 0
29 0 0
29.5 0 0
30 0 0
30.5 0 0
31 0 0
31.5 0 0
32 0 0
32.5 0 0
33 0 0
33.5 0 0
34 0 0
34.5 0 0
35 0 0
35.5 0 0
