0 0 0
0.5 0 0
1 0 0
1.5 0 0
2 2 0.000865801
2.5 10 0.004329004
3 18 0.007792208
3.5 37 0.016017316
4 56 0.024242424
4.5 91 0.039393939
5 127 0.054978355
5.5 183 0.079220779
6 240 0.103896104
6.5 320 0.138528139
7 400 0.173160173
7.5 513 0.222077922
8 626 0.270995671
8.5 759 0.328571429
9 892 0.386147186
9.5 1058 0.458008658
10 1223 0.529437229
10.5 1407 0.609090909
11 1590 0.688311688
11.5 1745 0.755411255
12 1900 0.822510823
12.5 1990 0.861471861
13 2080 0.9004329
13.5 2155 0.932900433
14 2230 0.965367965
14.5 2265 0.980519481
15 2300 0.995670996
15.5 2310 1
16 2310 1
16.5 2310 1
17 2310 1
17.5 2310 1
18 2310 1
18.5 2310 1
19 2310 1
19.5 2310 1
20 2310 1
20.5 2310 1
21 2310 1
21.5 2310 1
22 2310 1
22.5 2310 1
23 2310 1
23.5 2310 1
24 2310 1
24.5 2310 1
25 2310 1
25.5 0 0
26 0 0
26.5 0 0
27 0 0
27.5 0 0
28 0 0
28.5 0 0
29 0 0
29.5 0 0
30 0 0
30.5 0 0
31 0 0
31.5 0 0
32 0 0
32.5 0 0
33 0 0
33.5 0 0
34 0 0
34.5 0 0
35 0 0
35.5 0 0
